time_iso8601,stars_cumulative
2025-09-05 00:00:00+00:00,2
2025-09-28 00:00:00+00:00,3
2025-09-29 00:00:00+00:00,5
2025-10-02 00:00:00+00:00,6
2025-10-09 00:00:00+00:00,7
2025-10-12 00:00:00+00:00,8
2025-10-17 00:00:00+00:00,9
2025-10-18 00:00:00+00:00,10
2025-11-14 00:00:00+00:00,11
2025-11-24 00:00:00+00:00,12
2025-12-17 00:00:00+00:00,13
2026-01-05 00:00:00+00:00,14
2026-02-17 00:00:00+00:00,15
2026-07-01 00:00:00+00:00,16
