time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-04 00:00:00+00:00,1,1,9,7
2026-08-05 00:00:00+00:00,4,4,9,8
2026-08-06 00:00:00+00:00,2,2,17,5
2026-08-07 00:00:00+00:00,3,3,9,6
2026-08-08 00:00:00+00:00,26,8,10,9
2026-08-09 00:00:00+00:00,11,7,3,3
2026-08-10 00:00:00+00:00,3,3,4,4
2026-08-11 00:00:00+00:00,6,6,10,6
2026-08-12 00:00:00+00:00,8,3,6,6
2026-08-13 00:00:00+00:00,26,17,6,6
2026-08-14 00:00:00+00:00,7,6,12,8
2026-08-15 00:00:00+00:00,41,32,11,5
2026-08-16 00:00:00+00:00,23,13,10,6
2026-08-17 00:00:00+00:00,9,5,5,5
