time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,26,8,6,4
2026-05-05 00:00:00+00:00,31,11,3,3
2026-05-06 00:00:00+00:00,14,5,6,4
2026-05-07 00:00:00+00:00,14,5,6,4
2026-05-08 00:00:00+00:00,20,7,2,1
2026-05-09 00:00:00+00:00,16,7,9,3
2026-05-10 00:00:00+00:00,16,7,5,3
2026-05-11 00:00:00+00:00,24,7,7,3
2026-05-12 00:00:00+00:00,23,6,2,2
2026-05-13 00:00:00+00:00,21,5,2,2
2026-05-14 00:00:00+00:00,16,5,6,4
2026-05-15 00:00:00+00:00,15,6,7,3
2026-05-16 00:00:00+00:00,26,9,1,1
2026-05-17 00:00:00+00:00,7,2,8,7
