time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-14 00:00:00+00:00,11,6,60,14
2025-12-15 00:00:00+00:00,7,7,29,19
2025-12-16 00:00:00+00:00,12,8,44,18
2025-12-17 00:00:00+00:00,16,6,33,20
2025-12-18 00:00:00+00:00,16,10,27,17
2025-12-19 00:00:00+00:00,15,11,16,12
2025-12-20 00:00:00+00:00,17,9,22,17
2025-12-21 00:00:00+00:00,4,3,5,5
2025-12-22 00:00:00+00:00,7,7,15,11
2025-12-23 00:00:00+00:00,10,6,3,3
2025-12-24 00:00:00+00:00,19,8,29,12
2025-12-25 00:00:00+00:00,11,4,5,5
2025-12-26 00:00:00+00:00,16,5,15,8
2025-12-27 00:00:00+00:00,11,8,14,12
