time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-02 00:00:00+00:00,21,5,6,5
2026-07-03 00:00:00+00:00,15,6,17,11
2026-07-04 00:00:00+00:00,3,3,6,3
2026-07-05 00:00:00+00:00,23,10,13,9
2026-07-06 00:00:00+00:00,6,6,8,4
2026-07-07 00:00:00+00:00,25,9,8,7
2026-07-08 00:00:00+00:00,12,7,9,7
2026-07-09 00:00:00+00:00,24,7,12,7
2026-07-10 00:00:00+00:00,5,5,7,7
2026-07-11 00:00:00+00:00,23,9,11,8
2026-07-12 00:00:00+00:00,22,9,2,2
2026-07-13 00:00:00+00:00,13,8,13,8
2026-07-14 00:00:00+00:00,16,6,12,9
2026-07-15 00:00:00+00:00,9,4,16,5
