url_path,views_total,views_unique
/habahabai/mailstorm,85,72
/habahabai/mailstorm/pulls,5,2
/habahabai/mailstorm/blob/main/main.py,4,4
/habahabai/mailstorm/releases/tag/v0.5,3,3
/habahabai/mailstorm/issues,2,2
/habahabai/mailstorm/activity,1,1
/habahabai/mailstorm/blob/main/api.md,1,1
/habahabai/mailstorm/blob/main/requirements.txt,1,1
/habahabai/mailstorm/discussions,1,1
/habahabai/mailstorm/labels,1,1
