time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-03 00:00:00+00:00,7,4,25,11
2025-10-04 00:00:00+00:00,5,5,22,9
2025-10-05 00:00:00+00:00,3,3,27,13
2025-10-06 00:00:00+00:00,4,4,23,17
2025-10-07 00:00:00+00:00,3,3,15,8
2025-10-08 00:00:00+00:00,5,5,20,15
2025-10-09 00:00:00+00:00,7,7,23,15
2025-10-10 00:00:00+00:00,3,3,30,21
2025-10-11 00:00:00+00:00,7,7,50,22
2025-10-12 00:00:00+00:00,11,11,35,18
2025-10-13 00:00:00+00:00,5,4,72,26
2025-10-14 00:00:00+00:00,24,9,32,18
2025-10-15 00:00:00+00:00,6,4,24,15
2025-10-16 00:00:00+00:00,15,4,27,14
