time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-07 00:00:00+00:00,5,5,17,13
2026-04-08 00:00:00+00:00,15,6,7,6
2026-04-09 00:00:00+00:00,18,8,16,7
2026-04-10 00:00:00+00:00,7,7,15,11
2026-04-11 00:00:00+00:00,12,7,18,9
2026-04-12 00:00:00+00:00,15,10,29,15
2026-04-13 00:00:00+00:00,32,11,15,8
2026-04-14 00:00:00+00:00,15,5,6,6
2026-04-15 00:00:00+00:00,30,9,7,6
2026-04-16 00:00:00+00:00,3,3,7,6
2026-04-17 00:00:00+00:00,30,8,3,3
2026-04-18 00:00:00+00:00,15,7,7,4
2026-04-19 00:00:00+00:00,30,11,7,5
2026-04-20 00:00:00+00:00,73,28,11,6
