time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-21 00:00:00+00:00,16,6,20,9
2025-10-22 00:00:00+00:00,14,4,9,8
2025-10-23 00:00:00+00:00,9,4,48,16
2025-10-24 00:00:00+00:00,10,5,18,13
2025-10-25 00:00:00+00:00,4,2,26,11
2025-10-26 00:00:00+00:00,20,5,15,12
2025-10-27 00:00:00+00:00,4,4,19,15
2025-10-28 00:00:00+00:00,11,6,19,11
2025-10-29 00:00:00+00:00,3,3,28,16
2025-10-30 00:00:00+00:00,24,8,23,17
2025-10-31 00:00:00+00:00,8,3,16,9
2025-11-01 00:00:00+00:00,12,7,13,9
2025-11-02 00:00:00+00:00,18,10,21,13
2025-11-03 00:00:00+00:00,2,2,11,9
