time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-09 00:00:00+00:00,29,16,11,5
2026-02-10 00:00:00+00:00,20,11,17,10
2026-02-11 00:00:00+00:00,10,5,7,5
2026-02-12 00:00:00+00:00,20,11,25,13
2026-02-13 00:00:00+00:00,18,9,2,2
2026-02-14 00:00:00+00:00,17,10,21,12
2026-02-15 00:00:00+00:00,16,8,14,5
2026-02-16 00:00:00+00:00,19,10,10,9
2026-02-17 00:00:00+00:00,6,5,6,6
2026-02-18 00:00:00+00:00,4,4,7,3
2026-02-19 00:00:00+00:00,2,2,29,7
2026-02-20 00:00:00+00:00,8,4,19,10
2026-02-21 00:00:00+00:00,16,8,6,3
2026-02-22 00:00:00+00:00,11,7,11,8
