time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-15 00:00:00+00:00,6,4,24,15
2025-10-16 00:00:00+00:00,16,5,29,16
2025-10-17 00:00:00+00:00,2,2,36,11
2025-10-18 00:00:00+00:00,3,2,45,14
2025-10-19 00:00:00+00:00,7,2,8,5
2025-10-20 00:00:00+00:00,9,4,15,10
2025-10-21 00:00:00+00:00,16,6,20,9
2025-10-22 00:00:00+00:00,14,4,9,8
2025-10-23 00:00:00+00:00,9,4,48,16
2025-10-24 00:00:00+00:00,10,5,18,13
2025-10-25 00:00:00+00:00,4,2,26,11
2025-10-26 00:00:00+00:00,20,5,15,12
2025-10-27 00:00:00+00:00,4,4,19,15
2025-10-28 00:00:00+00:00,8,3,19,11
