time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,15,5,6,6
2026-04-15 00:00:00+00:00,30,9,7,6
2026-04-16 00:00:00+00:00,3,3,7,6
2026-04-17 00:00:00+00:00,30,8,3,3
2026-04-18 00:00:00+00:00,15,7,7,4
2026-04-19 00:00:00+00:00,30,11,7,5
2026-04-20 00:00:00+00:00,73,28,11,6
2026-04-21 00:00:00+00:00,56,22,4,3
2026-04-22 00:00:00+00:00,72,26,8,7
2026-04-23 00:00:00+00:00,86,29,9,7
2026-04-24 00:00:00+00:00,91,30,10,6
2026-04-25 00:00:00+00:00,48,19,5,2
2026-04-26 00:00:00+00:00,30,8,10,7
2026-04-27 00:00:00+00:00,14,5,4,2
