time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,30,12,9,8
2026-06-04 00:00:00+00:00,5,5,4,3
2026-06-05 00:00:00+00:00,5,5,14,9
2026-06-06 00:00:00+00:00,16,7,10,7
2026-06-07 00:00:00+00:00,15,6,1,1
2026-06-08 00:00:00+00:00,17,8,4,2
2026-06-09 00:00:00+00:00,22,8,6,3
2026-06-10 00:00:00+00:00,9,5,1,1
2026-06-11 00:00:00+00:00,31,13,2,2
2026-06-12 00:00:00+00:00,11,6,29,8
2026-06-13 00:00:00+00:00,25,10,9,6
2026-06-14 00:00:00+00:00,22,8,4,4
2026-06-15 00:00:00+00:00,25,6,2,2
2026-06-16 00:00:00+00:00,29,10,3,3
