time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-01 00:00:00+00:00,30,10,23,9
2025-12-02 00:00:00+00:00,45,16,24,16
2025-12-03 00:00:00+00:00,85,22,29,14
2025-12-04 00:00:00+00:00,11,7,19,14
2025-12-05 00:00:00+00:00,20,12,11,8
2025-12-06 00:00:00+00:00,3,3,5,5
2025-12-07 00:00:00+00:00,10,6,13,10
2025-12-08 00:00:00+00:00,10,6,21,14
2025-12-09 00:00:00+00:00,17,8,11,6
2025-12-10 00:00:00+00:00,12,7,42,21
2025-12-11 00:00:00+00:00,4,4,25,17
2025-12-12 00:00:00+00:00,4,4,12,11
2025-12-13 00:00:00+00:00,12,8,18,8
2025-12-14 00:00:00+00:00,3,3,60,14
