time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-06 00:00:00+00:00,12,8,14,11
2026-03-07 00:00:00+00:00,7,3,8,7
2026-03-08 00:00:00+00:00,9,5,22,10
2026-03-09 00:00:00+00:00,14,6,13,10
2026-03-10 00:00:00+00:00,16,8,7,6
2026-03-11 00:00:00+00:00,10,6,7,7
2026-03-12 00:00:00+00:00,2,2,17,10
2026-03-13 00:00:00+00:00,19,7,27,14
2026-03-14 00:00:00+00:00,8,4,11,9
2026-03-15 00:00:00+00:00,10,6,12,8
2026-03-16 00:00:00+00:00,2,2,9,6
2026-03-17 00:00:00+00:00,11,7,7,5
2026-03-18 00:00:00+00:00,6,2,4,4
2026-03-19 00:00:00+00:00,1,1,9,8
