time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-14 00:00:00+00:00,16,5,6,4
2026-05-15 00:00:00+00:00,15,6,7,3
2026-05-16 00:00:00+00:00,26,9,1,1
2026-05-17 00:00:00+00:00,7,2,8,7
2026-05-18 00:00:00+00:00,23,6,3,3
2026-05-19 00:00:00+00:00,17,8,7,6
2026-05-20 00:00:00+00:00,26,9,5,5
2026-05-21 00:00:00+00:00,14,5,6,5
2026-05-22 00:00:00+00:00,18,12,10,9
2026-05-23 00:00:00+00:00,2,2,11,7
2026-05-24 00:00:00+00:00,14,5,11,9
2026-05-25 00:00:00+00:00,21,11,13,9
2026-05-26 00:00:00+00:00,14,5,4,3
2026-05-27 00:00:00+00:00,2,2,8,6
