time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-31 00:00:00+00:00,7,6,24,15
2026-02-01 00:00:00+00:00,22,13,20,12
2026-02-02 00:00:00+00:00,12,7,17,9
2026-02-03 00:00:00+00:00,8,7,10,9
2026-02-04 00:00:00+00:00,16,10,39,22
2026-02-05 00:00:00+00:00,19,14,22,15
2026-02-06 00:00:00+00:00,23,13,51,23
2026-02-07 00:00:00+00:00,26,16,9,6
2026-02-08 00:00:00+00:00,6,6,16,14
2026-02-09 00:00:00+00:00,29,16,11,5
2026-02-10 00:00:00+00:00,20,11,17,10
2026-02-11 00:00:00+00:00,10,5,7,5
2026-02-12 00:00:00+00:00,20,11,25,13
2026-02-13 00:00:00+00:00,18,9,2,2
