time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-16 00:00:00+00:00,7,5,7,4
2025-09-17 00:00:00+00:00,1,1,18,8
2025-09-18 00:00:00+00:00,4,4,17,12
2025-09-19 00:00:00+00:00,9,5,13,12
2025-09-20 00:00:00+00:00,5,5,22,6
2025-09-21 00:00:00+00:00,5,5,14,9
2025-09-22 00:00:00+00:00,5,5,25,11
2025-09-23 00:00:00+00:00,3,2,38,12
2025-09-24 00:00:00+00:00,1,1,8,6
2025-09-25 00:00:00+00:00,1,1,3,3
2025-09-26 00:00:00+00:00,1,1,4,3
2025-09-27 00:00:00+00:00,7,3,7,5
2025-09-28 00:00:00+00:00,1,1,46,13
2025-09-29 00:00:00+00:00,1,1,63,24
