time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,9,5,1,1
2026-06-11 00:00:00+00:00,31,13,2,2
2026-06-12 00:00:00+00:00,11,6,29,8
2026-06-13 00:00:00+00:00,25,10,9,6
2026-06-14 00:00:00+00:00,22,8,4,4
2026-06-15 00:00:00+00:00,25,6,2,2
2026-06-16 00:00:00+00:00,29,10,3,3
2026-06-17 00:00:00+00:00,16,7,9,7
2026-06-18 00:00:00+00:00,39,16,9,8
2026-06-19 00:00:00+00:00,25,10,10,7
2026-06-20 00:00:00+00:00,39,10,13,13
2026-06-21 00:00:00+00:00,26,7,7,6
2026-06-22 00:00:00+00:00,25,6,9,8
2026-06-23 00:00:00+00:00,33,8,28,9
