url_path,views_total,views_unique
/habahabai/mailstorm,74,50
/habahabai/mailstorm/discussions,5,3
/habahabai/mailstorm/tree/github-repo-stats,4,1
/habahabai/mailstorm/issues,3,2
/habahabai/mailstorm/blob/main/main.py,2,2
/habahabai/mailstorm/blob/main/requirements.txt,2,2
/habahabai/mailstorm/issues/1,2,2
/habahabai/mailstorm/commit/df221bb1ce9bcc419feb838ce6a70a7c184ad2da,2,1
/habahabai/mailstorm/commits/github-repo-stats,2,1
/habahabai/mailstorm/blob/github-repo-stats/habahabai/mailstorm/latest-report/report.html,1,1
