time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-13 00:00:00+00:00,9,4,14,8
2025-11-14 00:00:00+00:00,6,6,18,8
2025-11-15 00:00:00+00:00,9,6,16,13
2025-11-16 00:00:00+00:00,3,3,12,10
2025-11-17 00:00:00+00:00,7,7,22,13
2025-11-18 00:00:00+00:00,8,7,27,18
2025-11-19 00:00:00+00:00,3,3,22,12
2025-11-20 00:00:00+00:00,5,5,34,15
2025-11-21 00:00:00+00:00,4,4,17,10
2025-11-22 00:00:00+00:00,4,4,10,6
2025-11-23 00:00:00+00:00,4,4,23,9
2025-11-24 00:00:00+00:00,4,4,30,19
2025-11-25 00:00:00+00:00,6,6,24,15
2025-11-26 00:00:00+00:00,1,1,15,9
