time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-08 00:00:00+00:00,26,8,10,9
2026-08-09 00:00:00+00:00,11,7,3,3
2026-08-10 00:00:00+00:00,3,3,4,4
2026-08-11 00:00:00+00:00,6,6,10,6
2026-08-12 00:00:00+00:00,8,3,6,6
2026-08-13 00:00:00+00:00,26,17,6,6
2026-08-14 00:00:00+00:00,7,6,12,8
2026-08-15 00:00:00+00:00,41,32,11,5
2026-08-16 00:00:00+00:00,23,13,10,6
2026-08-17 00:00:00+00:00,9,5,5,5
2026-08-18 00:00:00+00:00,5,5,8,7
2026-08-19 00:00:00+00:00,9,8,19,9
2026-08-20 00:00:00+00:00,8,4,5,5
2026-08-21 00:00:00+00:00,6,5,9,5
