time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-10 00:00:00+00:00,11,6,23,13
2026-01-11 00:00:00+00:00,16,8,16,9
2026-01-12 00:00:00+00:00,20,12,20,14
2026-01-13 00:00:00+00:00,3,3,41,12
2026-01-14 00:00:00+00:00,12,8,35,19
2026-01-15 00:00:00+00:00,3,3,43,29
2026-01-16 00:00:00+00:00,9,5,34,14
2026-01-17 00:00:00+00:00,10,8,27,10
2026-01-18 00:00:00+00:00,15,7,36,12
2026-01-19 00:00:00+00:00,5,4,26,12
2026-01-20 00:00:00+00:00,14,5,22,13
2026-01-21 00:00:00+00:00,14,9,28,17
2026-01-22 00:00:00+00:00,10,6,28,15
2026-01-23 00:00:00+00:00,9,5,24,16
