time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,73,28,11,6
2026-04-21 00:00:00+00:00,56,22,4,3
2026-04-22 00:00:00+00:00,72,26,8,7
2026-04-23 00:00:00+00:00,86,29,9,7
2026-04-24 00:00:00+00:00,91,30,10,6
2026-04-25 00:00:00+00:00,48,19,5,2
2026-04-26 00:00:00+00:00,30,8,10,7
2026-04-27 00:00:00+00:00,14,5,4,2
2026-04-28 00:00:00+00:00,24,9,5,5
2026-04-29 00:00:00+00:00,31,6,6,4
2026-04-30 00:00:00+00:00,25,7,23,9
2026-05-01 00:00:00+00:00,24,9,5,4
2026-05-02 00:00:00+00:00,19,6,13,5
2026-05-03 00:00:00+00:00,11,5,3,3
