time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-29 00:00:00+00:00,2.0,2.0,14,11
2025-11-30 00:00:00+00:00,5.0,5.0,10,7
2025-12-01 00:00:00+00:00,30.0,10.0,23,9
2025-12-02 00:00:00+00:00,45.0,16.0,24,16
2025-12-03 00:00:00+00:00,85.0,22.0,29,14
2025-12-04 00:00:00+00:00,11.0,7.0,19,14
2025-12-05 00:00:00+00:00,20.0,12.0,11,8
2025-12-06 00:00:00+00:00,3.0,3.0,5,5
2025-12-07 00:00:00+00:00,10.0,6.0,13,10
2025-12-08 00:00:00+00:00,10.0,6.0,21,14
2025-12-09 00:00:00+00:00,17.0,8.0,11,6
2025-12-10 00:00:00+00:00,12.0,7.0,42,21
2025-12-11 00:00:00+00:00,4.0,4.0,25,17
2025-12-12 00:00:00+00:00,,,12,11
