time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,25,6,2,2
2026-06-16 00:00:00+00:00,29,10,3,3
2026-06-17 00:00:00+00:00,16,7,9,7
2026-06-18 00:00:00+00:00,39,16,9,8
2026-06-19 00:00:00+00:00,25,10,10,7
2026-06-20 00:00:00+00:00,39,10,13,13
2026-06-21 00:00:00+00:00,26,7,7,6
2026-06-22 00:00:00+00:00,25,6,9,8
2026-06-23 00:00:00+00:00,33,8,28,9
2026-06-24 00:00:00+00:00,23,8,25,14
2026-06-25 00:00:00+00:00,29,10,18,11
2026-06-26 00:00:00+00:00,14,5,12,11
2026-06-27 00:00:00+00:00,15,6,8,5
2026-06-28 00:00:00+00:00,13,8,7,7
